conflict_ratio,match_prob,avg_score,avg_time
0.0,0.0,17.6,349.65662956237793
0.0,0.1,21.4,357.90791511535645
0.0,0.2,18.4,403.38706970214844
0.0,0.3,13.2,430.6302547454834
0.0,0.4,13.6,409.4020366668701
0.0,0.5,17.4,380.01651763916016
0.0,0.6,16.6,373.55895042419434
0.0,0.7,16.4,360.26439666748047
0.0,0.8,14.0,367.9835319519043
0.0,0.9,10.2,454.30240631103516
0.0,1.0,12.8,443.538236618042
0.1,0.0,19.2,356.3676357269287
0.1,0.1,17.4,368.66488456726074
0.1,0.2,17.6,382.8867435455322
0.1,0.3,16.6,381.7049503326416
0.1,0.4,16.4,381.14161491394043
0.1,0.5,17.2,374.1568088531494
0.1,0.6,19.6,353.2823085784912
0.1,0.7,19.0,364.8577690124512
0.1,0.8,17.4,361.5196704864502
0.1,0.9,17.6,348.9696979522705
0.1,1.0,11.2,406.22315406799316
0.2,0.0,20.2,370.4922676086426
0.2,0.1,19.4,367.56300926208496
0.2,0.2,20.0,346.2006092071533
0.2,0.3,18.6,350.02636909484863
0.2,0.4,15.6,381.77833557128906
0.2,0.5,13.4,455.6549072265625
0.2,0.6,12.2,439.6693706512451
0.2,0.7,15.2,361.2449645996094
0.2,0.8,13.4,384.74793434143066
0.2,0.9,9.2,480.9563636779785
0.2,1.0,10.4,463.3751392364502
0.3,0.0,17.2,384.0667247772217
0.3,0.1,16.6,370.3606128692627
0.3,0.2,19.0,350.70858001708984
0.3,0.3,19.8,349.7655391693115
0.3,0.4,16.0,406.7882537841797
0.3,0.5,13.6,419.5890426635742
0.3,0.6,16.4,389.50467109680176
0.3,0.7,16.0,399.80225563049316
0.3,0.8,14.8,414.4747257232666
0.3,0.9,10.4,440.9071445465088
0.3,1.0,14.6,391.4114475250244
0.4,0.0,21.0,336.39659881591797
0.4,0.1,23.4,341.1412715911865
0.4,0.2,21.4,356.64896965026855
0.4,0.3,18.8,359.20848846435547
0.4,0.4,17.6,388.3374214172363
0.4,0.5,20.0,441.60470962524414
0.4,0.6,24.2,322.9114055633545
0.4,0.7,18.8,348.09179306030273
0.4,0.8,16.2,391.54210090637207
0.4,0.9,14.6,384.1125965118408
0.4,1.0,15.6,397.53026962280273
0.5,0.0,21.2,370.4662322998047
0.5,0.1,20.0,375.2178192138672
0.5,0.2,20.2,365.32697677612305
0.5,0.3,16.8,397.5079536437988
0.5,0.4,18.6,350.88720321655273
0.5,0.5,18.6,350.0560760498047
0.5,0.6,20.4,344.97761726379395
0.5,0.7,14.6,360.8599662780762
0.5,0.8,13.4,364.61334228515625
0.5,0.9,14.6,383.76617431640625
0.5,1.0,18.4,367.9624557495117
0.6,0.0,20.2,337.22424507141113
0.6,0.1,16.4,409.79700088500977
0.6,0.2,19.0,371.81172370910645
0.6,0.3,19.8,360.01148223876953
0.6,0.4,18.2,365.7898426055908
0.6,0.5,20.4,352.4543762207031
0.6,0.6,17.2,379.4342517852783
0.6,0.7,22.8,313.68770599365234
0.6,0.8,20.6,320.2931880950928
0.6,0.9,17.0,373.7173557281494
0.6,1.0,18.0,382.31449127197266
0.7,0.0,25.8,293.1138038635254
0.7,0.1,24.2,315.5134677886963
0.7,0.2,23.6,349.76158142089844
0.7,0.3,22.6,337.2302055358887
0.7,0.4,20.0,341.42069816589355
0.7,0.5,18.6,382.13486671447754
0.7,0.6,16.2,410.675573348999
0.7,0.7,14.0,382.2643756866455
0.7,0.8,17.4,352.47135162353516
0.7,0.9,18.2,370.6057071685791
0.7,1.0,16.0,395.5008029937744
0.8,0.0,22.8,358.75844955444336
0.8,0.1,21.2,377.33893394470215
0.8,0.2,22.2,358.0124855041504
0.8,0.3,20.0,373.08478355407715
0.8,0.4,20.0,381.7713737487793
0.8,0.5,19.0,396.44460678100586
0.8,0.6,21.2,372.0491409301758
0.8,0.7,22.0,368.92833709716797
0.8,0.8,23.8,341.257381439209
0.8,0.9,20.6,376.5235424041748
0.8,1.0,20.2,358.53114128112793
0.9,0.0,26.0,298.29325675964355
0.9,0.1,24.8,301.6237735748291
0.9,0.2,24.8,327.40445137023926
0.9,0.3,25.0,325.84476470947266
0.9,0.4,27.2,290.1651382446289
0.9,0.5,26.6,324.3171215057373
0.9,0.6,26.2,308.6589813232422
0.9,0.7,26.4,293.5144901275635
0.9,0.8,22.8,316.7856693267822
0.9,0.9,24.2,305.7771682739258
0.9,1.0,25.6,340.7022953033447
1.0,0.0,29.8,269.907808303833
1.0,0.1,29.2,306.30125999450684
1.0,0.2,28.8,293.7965393066406
1.0,0.3,28.8,260.1675033569336
1.0,0.4,28.8,297.40710258483887
1.0,0.5,28.2,311.51366233825684
1.0,0.6,28.2,303.69534492492676
1.0,0.7,29.0,305.59401512145996
1.0,0.8,28.8,323.00124168395996
1.0,0.9,27.8,336.81464195251465
1.0,1.0,27.2,344.88816261291504
