num_reserves,num_habitacions,num_dies,mitjana_temps_ms,descartades_avg,places_descartades_avg,pct_descartades,errors
1,1,1,82.50260353088379,0.0,0.0,0.0,0
2,1,1,57.648420333862305,1.0,0.0,50.0,0
2,2,2,56.295156478881836,0.0,0.0,0.0,0
3,2,3,62.02816963195801,0.0,0.0,0.0,0
4,3,4,67.31605529785156,1.0,0.0,25.0,0
5,4,5,58.21371078491211,0.0,0.0,0.0,0
6,5,6,58.18629264831543,0.0,0.0,0.0,0
8,6,7,61.2030029296875,0.0,0.0,0.0,0
10,8,8,71.11573219299316,0.0,0.0,0.0,0
15,10,8,93.46747398376465,0.0,0.0,0.0,0
20,15,9,110.20016670227051,0.0,0.0,0.0,0
25,20,10,199.71370697021484,0.0,0.0,0.0,0
30,25,10,378.99255752563477,0.0,0.0,0.0,0
30,30,10,407.2234630584717,0.0,0.0,0.0,0
